UserID,DestinationID,VisitDate,ExperienceRating,Preferences,Gender,NumberOfAdults,NumberOfChildren,Name_y,State,Type,Popularity,BestTimeToVisit,PreferencesList,PopularityNorm,ExperienceRatingNorm
98,617,2024-03-20,5,"Nature, Adventure",Male,2,0,Goa Beaches,Goa,Beach,9.097017238917031,Nov-Mar,"['Nature', 'Adventure']",0.7981298291368601,1.0
45,925,2024-01-01,4,"City, Historical",Female,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.801125565121017,Apr-Jun,"['City', 'Historical']",0.1486613449738141,0.75
424,893,2024-02-15,2,"Beaches, Historical",Female,1,0,Jaipur City,Rajasthan,City,8.375786034039642,Oct-Mar,"['Beaches', 'Historical']",0.4366667941976151,0.25
352,149,2024-03-20,5,"Beaches, Historical",Female,1,0,Kerala Backwaters,Kerala,Nature,7.812523860815096,Sep-Mar,"['Beaches', 'Historical']",0.15437388559442838,1.0
330,208,2024-01-01,3,"City, Historical",Female,2,1,Jaipur City,Rajasthan,City,9.232664943302456,Oct-Mar,"['City', 'Historical']",0.8661130647180671,0.5
76,310,2024-02-15,2,"Beaches, Historical",Female,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.862071974081125,Apr-Jun,"['Beaches', 'Historical']",0.17920616028739186,0.25
501,200,2024-03-20,1,"City, Historical",Male,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.77167518972464,Apr-Jun,"['City', 'Historical']",0.13390155366294804,0.0
609,458,2024-01-01,1,"City, Historical",Female,2,2,Jaipur City,Rajasthan,City,9.04884504620765,Oct-Mar,"['City', 'Historical']",0.7739871314018509,0.0
276,476,2024-02-15,4,"City, Historical",Male,1,2,Taj Mahal,Uttar Pradesh,Historical,8.59393285581819,Nov-Feb,"['City', 'Historical']",0.5459965233180151,0.75
752,420,2024-03-20,3,"Nature, Adventure",Male,1,2,Leh Ladakh,Jammu and Kashmir,Adventure,9.333012518480867,Apr-Jun,"['Nature', 'Adventure']",0.9164047587372531,0.5
81,805,2024-01-01,3,"City, Historical",Female,1,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.410141709638284,Apr-Jun,"['City', 'Historical']",0.45388499924100933,0.5
290,619,2024-02-15,2,"Nature, Adventure",Female,2,1,Kerala Backwaters,Kerala,Nature,9.4345443222489,Sep-Mar,"['Nature', 'Adventure']",0.9672899584965843,0.25
422,986,2024-03-20,2,"Nature, Adventure",Female,1,0,Taj Mahal,Uttar Pradesh,Historical,8.108715094313126,Nov-Feb,"['Nature', 'Adventure']",0.3028175212255258,0.25
129,586,2024-01-01,3,"City, Historical",Male,2,1,Taj Mahal,Uttar Pradesh,Historical,7.569722658093775,Nov-Feb,"['City', 'Historical']",0.032687997589252865,0.5
324,38,2024-02-15,5,"City, Historical",Male,1,1,Jaipur City,Rajasthan,City,9.458687607787096,Oct-Mar,"['City', 'Historical']",0.979389969152009,1.0
421,410,2024-03-20,3,"Beaches, Historical",Female,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,9.056239628784924,Apr-Jun,"['Beaches', 'Historical']",0.777693111179785,0.5
2,385,2024-01-01,5,"Nature, Adventure",Male,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.051203902011398,Apr-Jun,"['Nature', 'Adventure']",0.2739943505532429,1.0
476,114,2024-02-15,1,"Nature, Adventure",Female,1,0,Kerala Backwaters,Kerala,Nature,9.46714704036077,Sep-Mar,"['Nature', 'Adventure']",0.9836296251059741,0.0
260,208,2024-03-20,2,"Nature, Adventure",Female,1,0,Jaipur City,Rajasthan,City,9.232664943302456,Oct-Mar,"['Nature', 'Adventure']",0.8661130647180671,0.25
878,732,2024-01-01,1,"Nature, Adventure",Female,1,2,Goa Beaches,Goa,Beach,8.465381843255685,Nov-Mar,"['Nature', 'Adventure']",0.4815699721217788,0.0
951,734,2024-02-15,4,"City, Historical",Male,1,2,Kerala Backwaters,Kerala,Nature,8.248600725902943,Sep-Mar,"['City', 'Historical']",0.3729246998901596,0.75
688,966,2024-03-20,5,"Beaches, Historical",Female,2,1,Taj Mahal,Uttar Pradesh,Historical,9.140527124056437,Nov-Feb,"['Beaches', 'Historical']",0.8199358949670555,1.0
902,216,2024-01-01,4,"Nature, Adventure",Female,2,2,Taj Mahal,Uttar Pradesh,Historical,9.36720219996661,Nov-Feb,"['Nature', 'Adventure']",0.9335397716843751,0.75
533,559,2024-02-15,3,"Nature, Adventure",Female,1,1,Kerala Backwaters,Kerala,Nature,8.65327152196819,Sep-Mar,"['Nature', 'Adventure']",0.5757355781603133,0.5
234,884,2024-03-20,2,"City, Historical",Male,1,0,Kerala Backwaters,Kerala,Nature,9.241444802843858,Sep-Mar,"['City', 'Historical']",0.8705133106512906,0.25
9,959,2024-01-01,2,"City, Historical",Female,2,0,Kerala Backwaters,Kerala,Nature,9.052548436473314,Sep-Mar,"['City', 'Historical']",0.7758431779455099,0.25
781,284,2024-02-15,3,"Beaches, Historical",Female,1,0,Kerala Backwaters,Kerala,Nature,9.01486652208098,Sep-Mar,"['Beaches', 'Historical']",0.7569579452400154,0.5
739,554,2024-03-20,3,"Beaches, Historical",Male,2,1,Kerala Backwaters,Kerala,Nature,9.025943210875612,Sep-Mar,"['Beaches', 'Historical']",0.7625093045291155,0.5
649,871,2024-01-01,2,"Beaches, Historical",Male,2,1,Taj Mahal,Uttar Pradesh,Historical,7.643206988401131,Nov-Feb,"['Beaches', 'Historical']",0.06951650538778954,0.25
463,10,2024-02-15,5,"Beaches, Historical",Male,1,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.811952081678728,Apr-Jun,"['Beaches', 'Historical']",0.655262304556712,1.0
631,394,2024-03-20,2,"Beaches, Historical",Female,1,2,Kerala Backwaters,Kerala,Nature,8.884525796968724,Sep-Mar,"['Beaches', 'Historical']",0.691634434891808,0.25
708,127,2024-01-01,4,"City, Historical",Male,1,1,Goa Beaches,Goa,Beach,8.132745077467629,Nov-Mar,"['City', 'Historical']",0.314860747561028,0.75
891,796,2024-02-15,3,"City, Historical",Male,1,1,Taj Mahal,Uttar Pradesh,Historical,9.243698788707544,Nov-Feb,"['City', 'Historical']",0.8716429519722542,0.5
488,532,2024-03-20,2,"Nature, Adventure",Female,1,0,Goa Beaches,Goa,Beach,8.988127174492362,Nov-Mar,"['Nature', 'Adventure']",0.7435568532374578,0.25
554,933,2024-01-01,1,"Nature, Adventure",Female,1,2,Jaipur City,Rajasthan,City,9.274200565698507,Oct-Mar,"['Nature', 'Adventure']",0.8869296794566368,0.0
957,404,2024-02-15,1,"City, Historical",Female,1,0,Kerala Backwaters,Kerala,Nature,9.28938699420442,Sep-Mar,"['City', 'Historical']",0.8945407374648222,0.0
296,348,2024-03-20,5,"Nature, Adventure",Male,1,0,Jaipur City,Rajasthan,City,8.013552975522641,Oct-Mar,"['Nature', 'Adventure']",0.25512464820971475,1.0
295,916,2024-01-01,1,"Beaches, Historical",Male,1,0,Taj Mahal,Uttar Pradesh,Historical,9.39676149780104,Nov-Feb,"['Beaches', 'Historical']",0.9483541521959927,0.0
234,872,2024-02-15,2,"City, Historical",Male,1,0,Goa Beaches,Goa,Beach,9.413328344476888,Nov-Mar,"['City', 'Historical']",0.9566570412533837,0.25
306,223,2024-03-20,3,"City, Historical",Female,2,1,Jaipur City,Rajasthan,City,8.936949815863377,Oct-Mar,"['City', 'Historical']",0.7179080415317136,0.5
18,883,2024-01-01,1,"City, Historical",Male,1,0,Jaipur City,Rajasthan,City,7.95494238797158,Oct-Mar,"['City', 'Historical']",0.22575048814493992,0.0
297,659,2024-02-15,2,"City, Historical",Male,1,1,Kerala Backwaters,Kerala,Nature,7.991928056209089,Sep-Mar,"['City', 'Historical']",0.24428677969746448,0.25
882,814,2024-03-20,1,"City, Historical",Male,1,1,Kerala Backwaters,Kerala,Nature,7.589205999248015,Sep-Mar,"['City', 'Historical']",0.04245256070957094,0.0
809,396,2024-01-01,1,"Nature, Adventure",Male,1,2,Taj Mahal,Uttar Pradesh,Historical,9.113864702192004,Nov-Feb,"['Nature', 'Adventure']",0.8065733562128057,0.0
591,893,2024-02-15,1,"City, Historical",Male,1,1,Jaipur City,Rajasthan,City,8.375786034039642,Oct-Mar,"['City', 'Historical']",0.4366667941976151,0.0
65,494,2024-03-20,3,"Nature, Adventure",Female,2,1,Kerala Backwaters,Kerala,Nature,8.937812540340415,Sep-Mar,"['Nature', 'Adventure']",0.718340417454549,0.5
290,682,2024-01-01,1,"Nature, Adventure",Female,2,1,Goa Beaches,Goa,Beach,8.57790096253945,Nov-Mar,"['Nature', 'Adventure']",0.5379617395189135,0.0
217,188,2024-02-15,2,"Beaches, Historical",Male,1,1,Jaipur City,Rajasthan,City,8.202625978518912,Oct-Mar,"['Beaches', 'Historical']",0.34988330677292445,0.25
977,395,2024-03-20,3,"Nature, Adventure",Male,1,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.879069809066051,Apr-Jun,"['Nature', 'Adventure']",0.688900030261843,0.5
859,880,2024-01-01,3,"Beaches, Historical",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.442750358263288,Apr-Jun,"['Beaches', 'Historical']",0.4702276380752029,0.5
29,505,2024-02-15,3,"Nature, Adventure",Female,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.07869796905618,Apr-Jun,"['Nature', 'Adventure']",0.28777368906442,0.5
747,660,2024-03-20,4,"City, Historical",Female,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.923387964302513,Apr-Jun,"['City', 'Historical']",0.209936200482333,0.75
61,339,2024-01-01,5,"Beaches, Historical",Male,2,2,Kerala Backwaters,Kerala,Nature,8.568613099478302,Sep-Mar,"['Beaches', 'Historical']",0.5333068949316586,1.0
906,330,2024-02-15,4,"City, Historical",Male,1,1,Leh Ladakh,Jammu and Kashmir,Adventure,7.63573528781037,Apr-Jun,"['City', 'Historical']",0.06577187599096107,0.75
442,433,2024-03-20,3,"Beaches, Historical",Female,1,0,Jaipur City,Rajasthan,City,8.683728793384567,Oct-Mar,"['Beaches', 'Historical']",0.5910000005642271,0.5
450,419,2024-01-01,5,"City, Historical",Female,1,2,Kerala Backwaters,Kerala,Nature,8.165654259803166,Sep-Mar,"['City', 'Historical']",0.33135400637169526,1.0
18,582,2024-02-15,1,"City, Historical",Male,1,0,Goa Beaches,Goa,Beach,7.779308047020037,Nov-Mar,"['City', 'Historical']",0.1377269507680574,0.0
446,105,2024-03-20,3,"Nature, Adventure",Female,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,9.367695620218187,Apr-Jun,"['Nature', 'Adventure']",0.9337870615692688,0.5
222,223,2024-01-01,4,"City, Historical",Male,1,1,Jaipur City,Rajasthan,City,8.936949815863377,Oct-Mar,"['City', 'Historical']",0.7179080415317136,0.75
852,874,2024-02-15,5,"City, Historical",Male,2,2,Kerala Backwaters,Kerala,Nature,8.671636575343907,Sep-Mar,"['City', 'Historical']",0.5849396834251936,1.0
328,303,2024-03-20,4,"Beaches, Historical",Female,2,0,Jaipur City,Rajasthan,City,9.356796584275807,Oct-Mar,"['Beaches', 'Historical']",0.9283247374449066,0.75
537,804,2024-01-01,5,"City, Historical",Male,2,0,Kerala Backwaters,Kerala,Nature,8.208242452766306,Sep-Mar,"['City', 'Historical']",0.3526981431435535,1.0
431,621,2024-02-15,4,"Nature, Adventure",Male,1,1,Taj Mahal,Uttar Pradesh,Historical,7.820265199039039,Nov-Feb,"['Nature', 'Adventure']",0.1582536506267707,0.75
423,619,2024-03-20,4,"City, Historical",Male,1,2,Kerala Backwaters,Kerala,Nature,9.4345443222489,Sep-Mar,"['City', 'Historical']",0.9672899584965843,0.75
327,175,2024-01-01,3,"City, Historical",Female,1,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.866219313947683,Apr-Jun,"['City', 'Historical']",0.6824596836232822,0.5
628,631,2024-02-15,5,"Beaches, Historical",Female,1,2,Taj Mahal,Uttar Pradesh,Historical,8.69173765365114,Nov-Feb,"['Beaches', 'Historical']",0.5950138409510305,1.0
834,575,2024-03-20,2,"City, Historical",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.419067682490505,Apr-Jun,"['City', 'Historical']",0.4583584735099129,0.25
303,849,2024-01-01,1,"City, Historical",Female,2,2,Kerala Backwaters,Kerala,Nature,8.749274375887886,Sep-Mar,"['City', 'Historical']",0.6238498065879944,0.0
636,139,2024-02-15,5,"City, Historical",Female,2,2,Kerala Backwaters,Kerala,Nature,8.426322913287258,Sep-Mar,"['City', 'Historical']",0.46199461366198086,1.0
69,92,2024-03-20,2,"City, Historical",Male,1,0,Goa Beaches,Goa,Beach,7.842354721882594,Nov-Mar,"['City', 'Historical']",0.1693243668040452,0.25
107,130,2024-01-01,5,"Nature, Adventure",Female,1,1,Leh Ladakh,Jammu and Kashmir,Adventure,9.46063445778344,Apr-Jun,"['Nature', 'Adventure']",0.9803656816606899,1.0
866,589,2024-02-15,2,"Nature, Adventure",Male,2,2,Kerala Backwaters,Kerala,Nature,9.427997305985516,Sep-Mar,"['Nature', 'Adventure']",0.9640087577493677,0.25
60,320,2024-03-20,4,"City, Historical",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.353685271308148,Apr-Jun,"['City', 'Historical']",0.4255904448697237,0.75
461,329,2024-01-01,1,"Nature, Adventure",Female,1,0,Kerala Backwaters,Kerala,Nature,8.214897900478032,Sep-Mar,"['Nature', 'Adventure']",0.35603368701976285,0.0
594,340,2024-02-15,3,"City, Historical",Female,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,9.051578730223218,Apr-Jun,"['City', 'Historical']",0.7753571854346633,0.5
344,565,2024-03-20,4,"Nature, Adventure",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.47880343825541,Apr-Jun,"['Nature', 'Adventure']",0.48829653973216225,0.75
331,723,2024-01-01,2,"Beaches, Historical",Male,1,2,Jaipur City,Rajasthan,City,8.279131951554369,Oct-Mar,"['Beaches', 'Historical']",0.3882261863063714,0.25
855,371,2024-02-15,5,"City, Historical",Female,1,1,Taj Mahal,Uttar Pradesh,Historical,8.32089647558579,Nov-Feb,"['City', 'Historical']",0.4091575208175523,1.0
44,230,2024-03-20,2,"Nature, Adventure",Male,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,7.619039723254248,Apr-Jun,"['Nature', 'Adventure']",0.057404476752452485,0.25
291,675,2024-01-01,1,"City, Historical",Male,2,1,Leh Ladakh,Jammu and Kashmir,Adventure,8.944718004457487,Apr-Jun,"['City', 'Historical']",0.7218012632977971,0.0
34,886,2024-02-15,5,"Beaches, Historical",Female,1,2,Taj Mahal,Uttar Pradesh,Historical,7.713067194844037,Nov-Feb,"['Beaches', 'Historical']",0.10452869297973902,1.0
77,803,2024-03-20,5,"Nature, Adventure",Male,2,0,Jaipur City,Rajasthan,City,9.31045957210701,Oct-Mar,"['Nature', 'Adventure']",0.9051017862812816,1.0
976,611,2024-01-01,5,"Beaches, Historical",Male,1,1,Taj Mahal,Uttar Pradesh,Historical,9.342123928378385,Nov-Feb,"['Beaches', 'Historical']",0.9209711694136908,1.0
556,387,2024-02-15,2,"Beaches, Historical",Male,1,0,Goa Beaches,Goa,Beach,8.763403696969464,Nov-Mar,"['Beaches', 'Historical']",0.6309310688035503,0.25
671,94,2024-03-20,2,"Nature, Adventure",Male,2,2,Kerala Backwaters,Kerala,Nature,7.678657960181018,Sep-Mar,"['Nature', 'Adventure']",0.0872836454733074,0.25
88,889,2024-01-01,1,"Beaches, Historical",Male,2,1,Kerala Backwaters,Kerala,Nature,9.002930521303405,Sep-Mar,"['Beaches', 'Historical']",0.7509759202847403,0.0
934,51,2024-02-15,2,"Beaches, Historical",Female,2,2,Taj Mahal,Uttar Pradesh,Historical,8.329362264700663,Nov-Feb,"['Beaches', 'Historical']",0.41340036251092793,0.25
653,423,2024-03-20,5,"Nature, Adventure",Male,2,1,Jaipur City,Rajasthan,City,8.427042499188698,Oct-Mar,"['Nature', 'Adventure']",0.4623552521120019,1.0
676,824,2024-01-01,5,"Beaches, Historical",Male,2,0,Kerala Backwaters,Kerala,Nature,9.206043310589514,Sep-Mar,"['Beaches', 'Historical']",0.8527709684660146,1.0
411,975,2024-02-15,1,"City, Historical",Male,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.780722103503646,Apr-Jun,"['City', 'Historical']",0.6396106208581807,0.0
323,922,2024-03-20,2,"Nature, Adventure",Male,2,1,Goa Beaches,Goa,Beach,9.298024384615864,Nov-Mar,"['Nature', 'Adventure']",0.8988695814346369,0.25
756,766,2024-01-01,1,"City, Historical",Male,1,2,Taj Mahal,Uttar Pradesh,Historical,8.145328815121932,Nov-Feb,"['City', 'Historical']",0.32116740203277533,0.0
686,180,2024-02-15,5,"Nature, Adventure",Male,2,2,Leh Ladakh,Jammu and Kashmir,Adventure,8.091363134430685,Apr-Jun,"['Nature', 'Adventure']",0.2941211530722404,1.0
941,936,2024-03-20,4,"Nature, Adventure",Male,2,2,Taj Mahal,Uttar Pradesh,Historical,8.02055897257851,Nov-Feb,"['Nature', 'Adventure']",0.2586358786465899,0.75
899,9,2024-01-01,1,"Nature, Adventure",Female,1,1,Kerala Backwaters,Kerala,Nature,9.260450137338132,Sep-Mar,"['Nature', 'Adventure']",0.8800383087931882,0.0
544,472,2024-02-15,4,"Beaches, Historical",Female,1,1,Goa Beaches,Goa,Beach,9.276219098262825,Nov-Mar,"['Beaches', 'Historical']",0.8879413174749141,0.75
132,839,2024-03-20,5,"City, Historical",Female,2,2,Kerala Backwaters,Kerala,Nature,9.19673720089384,Sep-Mar,"['City', 'Historical']",0.8481069791220601,1.0
890,655,2024-01-01,4,"Nature, Adventure",Male,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.769705210150947,Apr-Jun,"['Nature', 'Adventure']",0.634089229548517,0.75
944,391,2024-02-15,4,"Nature, Adventure",Female,2,0,Taj Mahal,Uttar Pradesh,Historical,8.937176476917816,Nov-Feb,"['Nature', 'Adventure']",0.7180216383812205,0.75
438,880,2024-03-20,1,"City, Historical",Female,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.442750358263288,Apr-Jun,"['City', 'Historical']",0.4702276380752029,0.0
524,476,2024-01-01,5,"Nature, Adventure",Female,2,2,Taj Mahal,Uttar Pradesh,Historical,8.59393285581819,Nov-Feb,"['Nature', 'Adventure']",0.5459965233180151,1.0
160,96,2024-02-15,1,"Beaches, Historical",Female,2,2,Taj Mahal,Uttar Pradesh,Historical,8.984287702263758,Nov-Feb,"['Beaches', 'Historical']",0.7416326058186955,0.0
288,158,2024-03-20,3,"City, Historical",Female,1,1,Jaipur City,Rajasthan,City,8.533439718586166,Oct-Mar,"['City', 'Historical']",0.5156788764538573,0.5
363,152,2024-01-01,2,"City, Historical",Female,1,0,Goa Beaches,Goa,Beach,9.000248319359416,Nov-Mar,"['City', 'Historical']",0.7496316677781408,0.25
35,91,2024-02-15,5,"Nature, Adventure",Male,2,1,Taj Mahal,Uttar Pradesh,Historical,8.775155892425978,Nov-Feb,"['Nature', 'Adventure']",0.6368209751306526,1.0
316,22,2024-03-20,5,"Beaches, Historical",Female,2,0,Goa Beaches,Goa,Beach,7.745073501266791,Nov-Mar,"['Beaches', 'Historical']",0.12056945297255038,1.0
239,27,2024-01-01,4,"Nature, Adventure",Male,2,0,Goa Beaches,Goa,Beach,7.504499933755479,Nov-Mar,"['Nature', 'Adventure']",0.0,0.75
948,1000,2024-02-15,3,"City, Historical",Male,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.939036209396416,Apr-Jun,"['City', 'Historical']",0.7189536897696572,0.5
343,478,2024-03-20,3,"Beaches, Historical",Female,2,1,Jaipur City,Rajasthan,City,8.746027540435104,Oct-Mar,"['Beaches', 'Historical']",0.6222225738937154,0.5
50,21,2024-01-01,2,"Nature, Adventure",Female,2,0,Taj Mahal,Uttar Pradesh,Historical,9.321865627407217,Nov-Feb,"['Nature', 'Adventure']",0.9108182158223443,0.25
78,61,2024-02-15,4,"City, Historical",Male,1,0,Taj Mahal,Uttar Pradesh,Historical,9.255411351531992,Nov-Feb,"['City', 'Historical']",0.8775129954157588,0.75
563,403,2024-03-20,3,"Nature, Adventure",Male,2,2,Jaipur City,Rajasthan,City,8.578600554982318,Oct-Mar,"['Nature', 'Adventure']",0.5383123577477272,0.5
805,428,2024-01-01,3,"Beaches, Historical",Male,1,2,Jaipur City,Rajasthan,City,9.229663135604667,Oct-Mar,"['Beaches', 'Historical']",0.8646086338040841,0.5
462,218,2024-02-15,2,"City, Historical",Male,1,1,Jaipur City,Rajasthan,City,9.034168574407344,Oct-Mar,"['City', 'Historical']",0.7666316509355829,0.25
762,739,2024-03-20,1,"City, Historical",Female,2,0,Kerala Backwaters,Kerala,Nature,8.372037385587443,Sep-Mar,"['City', 'Historical']",0.434788065383209,0.0
129,399,2024-01-01,2,"City, Historical",Male,2,1,Kerala Backwaters,Kerala,Nature,8.376325562448297,Sep-Mar,"['City', 'Historical']",0.43693719233722644,0.25
404,952,2024-02-15,3,"Nature, Adventure",Male,1,2,Goa Beaches,Goa,Beach,8.123015873320766,Nov-Mar,"['Nature', 'Adventure']",0.30998471386380816,0.5
155,567,2024-03-20,5,"Nature, Adventure",Male,1,1,Goa Beaches,Goa,Beach,9.187761000514808,Nov-Mar,"['Nature', 'Adventure']",0.8436083320733933,1.0
944,749,2024-01-01,4,"Nature, Adventure",Female,2,0,Kerala Backwaters,Kerala,Nature,8.931736559795393,Sep-Mar,"['Nature', 'Adventure']",0.7152952880242315,0.75
148,301,2024-02-15,2,"Beaches, Historical",Male,2,1,Taj Mahal,Uttar Pradesh,Historical,8.634308850859137,Nov-Feb,"['Beaches', 'Historical']",0.5662319618396657,0.25
119,402,2024-03-20,4,"Nature, Adventure",Male,2,0,Goa Beaches,Goa,Beach,8.050919516333472,Nov-Mar,"['Nature', 'Adventure']",0.2738518235666939,0.75
356,993,2024-01-01,2,"Nature, Adventure",Male,1,1,Jaipur City,Rajasthan,City,8.19515468129691,Oct-Mar,"['Nature', 'Adventure']",0.34613887953442574,0.25
596,926,2024-02-15,5,"Nature, Adventure",Female,1,1,Taj Mahal,Uttar Pradesh,Historical,8.324741876265339,Nov-Feb,"['Nature', 'Adventure']",0.41108473942760015,1.0
850,131,2024-03-20,1,"Beaches, Historical",Male,2,0,Taj Mahal,Uttar Pradesh,Historical,8.853926858989041,Nov-Feb,"['Beaches', 'Historical']",0.6762990127508122,0.0
975,828,2024-01-01,3,"City, Historical",Female,1,0,Jaipur City,Rajasthan,City,7.804063905354139,Oct-Mar,"['City', 'Historical']",0.15013396758243922,0.5
759,969,2024-02-15,1,"City, Historical",Female,2,1,Kerala Backwaters,Kerala,Nature,9.409359526915562,Sep-Mar,"['City', 'Historical']",0.9546679691900349,0.0
298,797,2024-03-20,4,"Beaches, Historical",Female,1,2,Goa Beaches,Goa,Beach,9.120638441373126,Nov-Mar,"['Beaches', 'Historical']",0.8099681848138666,0.75
367,126,2024-01-01,4,"Beaches, Historical",Female,1,0,Taj Mahal,Uttar Pradesh,Historical,8.271757062443388,Nov-Feb,"['Beaches', 'Historical']",0.38453007640102044,0.75
904,169,2024-02-15,5,"Beaches, Historical",Male,1,0,Kerala Backwaters,Kerala,Nature,7.686748942635202,Sep-Mar,"['Beaches', 'Historical']",0.09133864344587389,1.0
750,401,2024-03-20,2,"City, Historical",Male,1,2,Taj Mahal,Uttar Pradesh,Historical,8.033376557417458,Nov-Feb,"['City', 'Historical']",0.2650597314765092,0.25
256,242,2024-01-01,3,"Beaches, Historical",Male,2,1,Goa Beaches,Goa,Beach,9.164688152340853,Nov-Mar,"['Beaches', 'Historical']",0.8320447978429685,0.5
703,82,2024-02-15,2,"Beaches, Historical",Male,2,1,Goa Beaches,Goa,Beach,8.067416540924038,Nov-Mar,"['Beaches', 'Historical']",0.2821197195418643,0.25
757,126,2024-03-20,2,"Beaches, Historical",Male,1,0,Taj Mahal,Uttar Pradesh,Historical,8.271757062443388,Nov-Feb,"['Beaches', 'Historical']",0.38453007640102044,0.25
526,170,2024-01-01,3,"Beaches, Historical",Male,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.848982805962368,Apr-Jun,"['Beaches', 'Historical']",0.1726461967125487,0.5
480,389,2024-02-15,1,"City, Historical",Female,2,0,Kerala Backwaters,Kerala,Nature,9.40914617773771,Sep-Mar,"['City', 'Historical']",0.9545610439200154,0.0
782,805,2024-03-20,3,"Nature, Adventure",Male,1,0,Leh Ladakh,Jammu and Kashmir,Adventure,8.410141709638284,Apr-Jun,"['Nature', 'Adventure']",0.45388499924100933,0.5
874,315,2024-01-01,3,"Beaches, Historical",Male,2,0,Leh Ladakh,Jammu and Kashmir,Adventure,7.746686189763855,Apr-Jun,"['Beaches', 'Historical']",0.12137769209839255,0.5
979,68,2024-02-15,2,"Beaches, Historical",Male,1,2,Jaipur City,Rajasthan,City,7.599766915318256,Oct-Mar,"['Beaches', 'Historical']",0.047745427613654606,0.25
